,precision,recall,f1-score,support
ask_available_genres,1.000,0.400,0.571,5.000
ask_episodes,1.000,0.200,0.333,5.000
ask_genre,1.000,0.400,0.571,5.000
ask_info,1.000,0.143,0.250,7.000
ask_ranking,0.000,0.000,0.000,6.000
ask_type,1.000,0.200,0.333,5.000
fallback,0.000,0.000,0.000,5.000
goodbye,0.000,0.000,0.000,4.000
greeting,1.000,0.200,0.333,5.000
help,0.000,0.000,0.000,4.000
list_by_genre,1.000,0.625,0.769,8.000
list_top,0.140,1.000,0.246,8.000
recommend_anime,0.636,0.875,0.737,8.000
recommend_by_genre,1.000,0.500,0.667,8.000
thanks,1.000,0.333,0.500,3.000
accuracy,0.384,0.384,0.384,0.384
macro avg,0.652,0.325,0.354,86.000
weighted avg,0.665,0.384,0.387,86.000
