,precision,recall,f1-score,support
ask_available_genres,1.000,0.200,0.333,5.000
ask_episodes,1.000,0.200,0.333,5.000
ask_genre,0.000,0.000,0.000,5.000
ask_info,0.000,0.000,0.000,7.000
ask_ranking,0.000,0.000,0.000,6.000
ask_type,0.000,0.000,0.000,5.000
fallback,0.000,0.000,0.000,5.000
goodbye,0.000,0.000,0.000,4.000
greeting,0.000,0.000,0.000,5.000
help,0.000,0.000,0.000,4.000
list_by_genre,1.000,0.125,0.222,8.000
list_top,0.110,1.000,0.198,8.000
recommend_anime,1.000,0.625,0.769,8.000
recommend_by_genre,1.000,0.625,0.769,8.000
thanks,0.000,0.000,0.000,3.000
accuracy,0.244,0.244,0.244,0.244
macro avg,0.341,0.185,0.175,86.000
weighted avg,0.406,0.244,0.221,86.000
