,precision,recall,f1-score,support
ask_available_genres,1.000,0.400,0.571,5.000
ask_episodes,1.000,0.400,0.571,5.000
ask_genre,1.000,0.400,0.571,5.000
ask_info,0.600,0.429,0.500,7.000
ask_ranking,0.667,0.333,0.444,6.000
ask_type,1.000,0.600,0.750,5.000
fallback,0.083,0.600,0.146,5.000
goodbye,0.000,0.000,0.000,4.000
greeting,1.000,0.200,0.333,5.000
help,0.000,0.000,0.000,4.000
list_by_genre,1.000,0.625,0.769,8.000
list_top,0.471,1.000,0.640,8.000
recommend_anime,1.000,0.500,0.667,8.000
recommend_by_genre,1.000,0.500,0.667,8.000
thanks,1.000,0.667,0.800,3.000
accuracy,0.477,0.477,0.477,0.477
macro avg,0.721,0.444,0.495,86.000
weighted avg,0.749,0.477,0.526,86.000
