,precision,recall,f1-score,support
ask_available_genres,1.000,0.800,0.889,5.000
ask_episodes,0.800,0.800,0.800,5.000
ask_genre,1.000,0.400,0.571,5.000
ask_info,0.500,0.571,0.533,7.000
ask_ranking,0.714,0.833,0.769,6.000
ask_type,1.000,0.800,0.889,5.000
fallback,0.000,0.000,0.000,5.000
goodbye,0.000,0.000,0.000,4.000
greeting,0.500,0.800,0.615,5.000
help,1.000,0.250,0.400,4.000
list_by_genre,1.000,0.875,0.933,8.000
list_top,0.727,1.000,0.842,8.000
recommend_anime,0.471,1.000,0.640,8.000
recommend_by_genre,1.000,0.500,0.667,8.000
thanks,1.000,1.000,1.000,3.000
accuracy,0.674,0.674,0.674,0.674
macro avg,0.714,0.642,0.637,86.000
weighted avg,0.719,0.674,0.656,86.000
